Date,Price - Close,Price - High,Price - Low,Price to Earnings Ratio,Enterprise Value to Sales
2/7/2019,2706.05,2719.32,2687.26,16.07653112,2.303752407
2/8/2019,2707.88,2708.07,2681.83,16.08757358,2.307676044
2/11/2019,2709.8,2718.05,2703.79,16.08682521,2.308315978
2/12/2019,2744.73,2748.19,2722.61,16.28692409,2.332779106
2/13/2019,2753.03,2761.85,2748.63,16.32814627,2.352089301
2/14/2019,2745.73,2757.9,2731.23,16.29344452,2.349914717
2/15/2019,2775.6,2775.66,2760.24,16.477688,2.367960524
2/19/2019,2779.76,2787.33,2767.29,16.489524,2.370195902
2/20/2019,2784.7,2789.88,2774.06,16.52418427,2.370816244
2/21/2019,2774.88,2781.58,2764.55,16.47241203,2.364845237
2/22/2019,2792.67,2794.2,2779.11,16.58343969,2.377816785
2/25/2019,2796.11,2813.49,2794.99,16.59571457,2.376760206
2/26/2019,2793.9,2803.12,2789.47,16.58459801,2.374009309
2/27/2019,2792.38,2795.76,2775.13,16.58185918,2.374513081
2/28/2019,2784.49,2793.73,2782.51,16.53574025,2.366194931
3/1/2019,2803.69,2808.02,2787.38,16.64598539,2.378772489
3/4/2019,2792.81,2816.88,2767.66,16.56811806,2.37203725
3/5/2019,2789.65,2796.44,2782.97,16.54763125,2.370667847
3/6/2019,2771.45,2790.27,2768.69,16.43850406,2.357971758
3/7/2019,2748.93,2767.25,2739.09,16.30128948,2.342381003
3/8/2019,2743.07,2744.13,2722.27,16.26423402,2.337132483
3/11/2019,2783.3,2784,2747.61,16.49059818,2.367262838
3/12/2019,2791.52,2798.32,2786.73,16.53184067,2.372629116
3/13/2019,2810.92,2821.24,2799.78,16.64640152,2.384724851
3/14/2019,2808.48,2815,2803.46,16.63577941,2.384192223
3/15/2019,2822.48,2830.73,2810.79,16.71107622,2.394261112
3/18/2019,2832.94,2835.41,2821.99,16.76458453,2.40186874
3/19/2019,2832.57,2852.42,2823.27,16.75603559,2.403447212
3/20/2019,2824.23,2843.54,2812.43,16.68167905,2.401463087
3/21/2019,2854.88,2860.31,2817.38,16.8781682,2.428296038
3/22/2019,2800.71,2846.16,2800.47,16.55732371,2.39129168
3/25/2019,2798.36,2809.79,2785.02,16.53006419,2.388892307
3/26/2019,2818.46,2829.87,2803.99,16.64208701,2.402345262
3/27/2019,2805.37,2825.56,2787.72,16.55962771,2.392784772
3/28/2019,2815.44,2819.71,2798.77,16.61735077,2.398988997
3/29/2019,2834.4,2836.03,2819.23,16.73165051,2.412981511
4/1/2019,2867.19,2869.4,2848.63,16.91441707,2.431913752
4/2/2019,2867.24,2872.9,2858.75,16.91946947,2.430947947
4/3/2019,2873.4,2885.25,2865.17,16.95204773,2.441455875
4/4/2019,2879.39,2881.28,2867.14,16.98275523,2.444051043
4/5/2019,2892.74,2893.24,2882.99,17.07742668,2.455254264
4/8/2019,2895.77,2895.95,2880.78,17.08514888,2.457090265
4/9/2019,2878.2,2886.88,2873.33,16.97775017,2.44513574
4/10/2019,2888.21,2889.71,2879.13,17.03623798,2.451766445
4/11/2019,2888.32,2893.42,2881.99,17.03782549,2.452714712
4/12/2019,2907.41,2910.54,2898.37,17.13780907,2.46285155
4/15/2019,2905.58,2909.6,2896.48,17.12220555,2.462078041
4/16/2019,2907.06,2916.06,2900.71,17.11376591,2.459435977
4/17/2019,2900.45,2918,2895.45,17.06532965,2.453982444
4/18/2019,2905.03,2908.4,2891.9,17.08537102,2.457638358
4/22/2019,2907.97,2909.51,2896.35,17.08694855,2.45578254
4/23/2019,2933.68,2936.31,2908.53,17.21964863,2.47382765
4/24/2019,2927.25,2936.83,2926.05,17.18004255,2.468301774
4/25/2019,2926.17,2933.1,2912.84,17.17373341,2.467555008
4/26/2019,2939.88,2939.88,2917.56,17.25060578,2.476329269
4/29/2019,2943.03,2949.52,2939.35,17.25355265,2.473703116
4/30/2019,2945.83,2948.22,2924.11,17.26748884,2.476072278
5/1/2019,2923.73,2954.13,2923.36,17.13127696,2.460449962
5/2/2019,2917.52,2931.68,2900.5,17.09600883,2.454893518
5/3/2019,2945.64,2947.85,2929.21,17.26250576,2.47510985
5/6/2019,2932.47,2937.32,2898.21,17.1758222,2.463350172
5/7/2019,2884.05,2913.03,2862.6,16.89078427,2.427932613
5/8/2019,2879.42,2897.96,2873.28,16.85945761,2.424739965
5/9/2019,2870.72,2875.97,2836.4,16.80390214,2.417062737
5/10/2019,2881.4,2891.31,2825.39,16.96929194,2.430291066
5/13/2019,2811.87,2840.19,2801.43,16.53957903,2.379208204
5/14/2019,2834.41,2852.54,2820.12,16.674521,2.409597975
5/15/2019,2850.96,2858.68,2815.08,16.77128418,2.424877775
5/16/2019,2876.32,2892.15,2855.8,16.91754374,2.443142096
5/17/2019,2859.53,2885.48,2854.23,16.81231812,2.429170352
5/20/2019,2840.23,2853.86,2831.29,16.68310136,2.411660645
5/21/2019,2864.36,2868.88,2854.02,16.81581405,2.427765813
5/22/2019,2856.27,2865.47,2851.11,16.76652066,2.4230199
5/23/2019,2822.24,2836.7,2805.49,16.56020149,2.399349448
5/24/2019,2826.06,2841.36,2820.19,16.58562136,2.400623737
5/28/2019,2802.39,2840.51,2801.58,16.43273742,2.383437537
5/29/2019,2783.02,2792.03,2766.06,16.31329009,2.367243736
5/30/2019,2788.86,2799,2776.74,16.3451974,2.373317843
5/31/2019,2752.06,2768.98,2750.52,16.13346245,2.346748917
6/3/2019,2744.45,2763.07,2728.81,16.09579949,2.334859744
6/4/2019,2803.27,2804.49,2762.64,16.440136,2.375896005
6/5/2019,2826.15,2827.28,2800.92,16.57716059,2.394748922
6/6/2019,2843.49,2852.1,2822.45,16.67829524,2.409319905
6/7/2019,2873.34,2884.97,2852.87,16.86128387,2.435746628
6/10/2019,2886.73,2904.77,2885.51,16.93078898,2.444185949
6/11/2019,2885.72,2910.61,2878.53,16.92156049,2.442307304
6/12/2019,2879.84,2888.57,2874.68,16.88382705,2.440429829
6/13/2019,2891.64,2895.24,2881.99,16.94789247,2.448585756
6/14/2019,2886.98,2894.45,2879.62,16.93714895,2.444686106
6/17/2019,2889.67,2897.27,2887.3,16.95026821,2.448003607
6/18/2019,2917.75,2930.79,2905.44,17.11059201,2.467283306
6/19/2019,2926.46,2931.74,2911.43,17.16450571,2.475560592
6/20/2019,2954.18,2958.06,2931.5,17.3195268,2.497006954
6/21/2019,2950.46,2964.15,2946.87,17.28833967,2.492302065
6/24/2019,2945.35,2954.92,2944.05,17.24653897,2.48996016
6/25/2019,2917.38,2946.52,2916.01,17.06874189,2.467139044
